Date,Year,RANK,Country,Region,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
12/31/2022,2022,146,Afghanistan,Southern Asia,2.404,0.758,0,0.289,0,0.089,0.005
12/31/2022,2022,90,Albania,Central and Eastern Europe,5.199,1.439,0.646,0.719,0.511,0.138,0.028
12/31/2022,2022,96,Algeria,Middle East and Northern Africa,5.122,1.363,0.97,0.643,0.146,0.106,0.15
12/31/2022,2022,57,Argentina,Latin America and Caribbean,5.967,1.592,1.102,0.662,0.555,0.081,0.085
12/31/2022,2022,82,Armenia,Central and Eastern Europe,5.399,1.434,0.82,0.668,0.558,0.054,0.21
12/31/2022,2022,12,Australia,Australia and New Zealand,7.162,1.9,1.203,0.772,0.676,0.258,0.341
12/31/2022,2022,11,Austria,Western Europe,7.163,1.931,1.165,0.774,0.623,0.193,0.329
12/31/2022,2022,92,Azerbaijan,Central and Eastern Europe,5.173,1.458,1.093,0.56,0.601,0.023,0.341
12/31/2022,2022,21,Bahrain,Middle East and Northern Africa,6.647,1.854,1.029,0.625,0.693,0.199,0.155
12/31/2022,2022,94,Bangladesh,Southern Asia,5.155,1.06,0.614,0.581,0.622,0.125,0.187
12/31/2022,2022,65,Belarus,Central and Eastern Europe,5.821,1.562,1.157,0.629,0.342,0.04,0.282
12/31/2022,2022,19,Belgium,Western Europe,6.805,1.907,1.106,0.764,0.492,0.049,0.204
12/31/2022,2022,115,Benin,Sub-Saharan Africa,4.623,0.932,0.064,0.335,0.479,0.127,0.23
12/31/2022,2022,71,Bolivia,Latin America and Caribbean,5.6,1.256,0.88,0.555,0.627,0.112,0.064
12/31/2022,2022,67,Bosnia and Herzegovina,Central and Eastern Europe,5.768,1.468,1.068,0.665,0.448,0.244,0.006
12/31/2022,2022,142,Botswana,Sub-Saharan Africa,3.471,1.503,0.815,0.28,0.571,0.012,0.102
12/31/2022,2022,38,Brazil,Latin America and Caribbean,6.293,1.462,1.044,0.615,0.546,0.131,0.134
12/31/2022,2022,85,Bulgaria,Central and Eastern Europe,5.371,1.625,1.163,0.64,0.563,0.123,0.021
12/31/2022,2022,113,Burkina,Sub-Saharan Africa,4.67,0.779,0.565,0.32,0.382,0.186,0.126
